time_s,motor_angle_rad,motor_velocity_rad_s,motor_frequency_hz,motor_effort_nm,left_length_m,right_length_m,left_rest_length_m,right_rest_length_m,left_delta_length_m,right_delta_length_m,left_length_velocity_m_s,right_length_velocity_m_s,left_force_n,right_force_n,j0_deg,j1_deg,j2_deg,j3_deg,j4_deg,left_tau_j0_nm,left_tau_j1_nm,left_tau_j2_nm,left_tau_j3_nm,left_tau_j4_nm,right_tau_j0_nm,right_tau_j1_nm,right_tau_j2_nm,right_tau_j3_nm,right_tau_j4_nm,total_tau_j0_nm,total_tau_j1_nm,total_tau_j2_nm,total_tau_j3_nm,total_tau_j4_nm,left_anchor_fx_n,left_anchor_fy_n,left_anchor_fz_n,right_anchor_fx_n,right_anchor_fy_n,right_anchor_fz_n,force_residual_n,torque_residual_nm,safety_tripped
3.5805,2.97071465158,241.382609645,38.4172355014,-100,0.214419744228,0.298908622943,0.280896914076,0.280896914076,-0.0664771698487,0.0180117088668,18.3001666623,-9.41326705262,-1146.54173035,266.10150681,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.58175,3.27244291363,241.382609645,38.4172355014,-100,0.221814532656,0.290415210125,0.280896914076,0.280896914076,-0.0590823814202,0.00951829604888,3.03624544843,-3.8285718593,-1151.28517392,152.080202385,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.583,3.57417117569,241.382609645,38.4172355014,-100,0.230657894403,0.280323540986,0.280896914076,0.280896914076,-0.0502390196739,-0.000573373090147,12.5383943538,-7.57507493408,-879.39644994,-87.2182111438,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.58425,3.87589943774,241.382609645,38.4172355014,-100,0.236397762203,0.271951843243,0.280896914076,0.280896914076,-0.0444991518737,-0.00894507083362,4.05932170996,-4.93626705116,-849.389820374,-228.264087184,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5855,4.1776276998,241.382609645,38.4172355014,-100,0.24127886196,0.264955882805,0.280896914076,0.280896914076,-0.0396180521166,-0.0159410312713,7.26721623576,-2.82936704938,-719.688879973,-347.11429592,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.58675,4.47935596186,241.382609645,38.4172355014,-100,0.243789202911,0.260584600463,0.280896914076,0.280896914076,-0.0371077111655,-0.0203123136133,2.60078639613,-2.4259070873,-716.146359349,-430.505343139,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.588,4.78108422391,241.382609645,38.4172355014,-100,0.244382627449,0.259853746165,0.280896914076,0.280896914076,-0.0365142866276,-0.0210431679113,3.23621067103,3.15213161511,-697.923625842,-389.342042075,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.58925,5.08281248597,241.382609645,38.4172355014,-100,0.242821144743,0.26216581691,0.280896914076,0.280896914076,-0.0380757693331,-0.0187310971661,-0.824903794824,3.15648669093,-769.76442461,-343.057076412,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5905,5.38454074802,241.382609645,38.4172355014,-100,0.239478060654,0.267778542083,0.280896914076,0.280896914076,-0.0414188534221,-0.0131183719934,0.988157280449,7.03904819935,-818.495495638,-191.976957875,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.59175,5.68626901008,241.382609645,38.4172355014,-100,0.233639131282,0.275813309803,0.280896914076,0.280896914076,-0.0472577827945,-0.00508360427388,-5.70556785047,8.69022551592,-1002.21133439,-14.7698303183,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
